HID,M1,M2,HHID,PID,N1,HPID,PIDWON,CH1,CH2_Y,CH2_M,CH2_1,CH3_Y,CH3_M,CH3_1,CH4_Y,CH4_M,CH4_1,CH5_Y,CH5_M,CH6_Y,CH6_M
112166.0,2.0,1.0,112166021.0,3.0,1.0,11216602103.0,11216603.0,0.0,,,,,,,,,,,,,
112166.0,1.0,1.0,112166011.0,4.0,1.0,11216601104.0,11216604.0,0.0,,,,,,,,,,,,,
112166.0,2.0,1.0,112166021.0,5.0,2.0,11216602105.0,11216605.0,0.0,,,,,,,,,,,,,
112167.0,1.0,1.0,112167011.0,1.0,1.0,11216701101.0,11216701.0,0.0,,,,,,,,,,,,,
112167.0,1.0,1.0,112167011.0,2.0,1.0,11216701102.0,11216702.0,0.0,,,,,,,,,,,,,
112167.0,3.0,1.0,112167031.0,3.0,1.0,11216703103.0,11216703.0,0.0,,,,,,,,,,,,,
112167.0,3.0,2.0,112167032.0,4.0,1.0,11216703204.0,11216704.0,0.0,,,,,,,,,,,,,
112168.0,1.0,1.0,112168011.0,1.0,1.0,11216801101.0,11216801.0,0.0,,,,,,,,,,,,,
112168.0,1.0,1.0,112168011.0,2.0,1.0,11216801102.0,11216802.0,0.0,,,,,,,,,,,,,
112169.0,1.0,1.0,112169011.0,1.0,1.0,11216901101.0,11216901.0,0.0,,,,,,,,,,,,,
112169.0,1.0,1.0,112169011.0,2.0,1.0,11216901102.0,11216902.0,0.0,,,,,,,,,,,,,
112170.0,2.0,1.0,112170021.0,3.0,1.0,11217002103.0,11217003.0,0.0,,,,,,,,,,,,,
112171.0,1.0,1.0,112171011.0,1.0,1.0,11217101101.0,11217101.0,0.0,,,,,,,,,,,,,
112171.0,1.0,1.0,112171011.0,2.0,1.0,11217101102.0,11217102.0,0.0,,,,,,,,,,,,,
112172.0,1.0,1.0,112172011.0,1.0,1.0,11217201101.0,11217201.0,0.0,,,,,,,,,,,,,
112173.0,1.0,1.0,112173011.0,1.0,1.0,11217301101.0,11217301.0,0.0,,,,,,,,,,,,,
112173.0,1.0,1.0,112173011.0,2.0,1.0,11217301102.0,11217302.0,0.0,,,,,,,,,,,,,
112174.0,1.0,1.0,112174011.0,1.0,1.0,11217401101.0,11217401.0,0.0,,,,,,,,,,,,,
112174.0,1.0,1.0,112174011.0,2.0,1.0,11217401102.0,11217402.0,0.0,,,,,,,,,,,,,
112174.0,2.0,1.0,112174021.0,3.0,1.0,11217402103.0,11217403.0,0.0,,,,,,,,,,,,,
112175.0,1.0,1.0,112175011.0,1.0,1.0,11217501101.0,11217501.0,0.0,,,,,,,,,,,,,
112175.0,1.0,1.0,112175011.0,2.0,1.0,11217501102.0,11217502.0,0.0,,,,,,,,,,,,,
112176.0,1.0,1.0,112176011.0,1.0,1.0,11217601101.0,11217601.0,0.0,,,,,,,,,,,,,
112177.0,1.0,1.0,112177011.0,1.0,1.0,11217701101.0,11217701.0,0.0,,,,,,,,,,,,,
112177.0,1.0,1.0,112177011.0,2.0,1.0,11217701102.0,11217702.0,0.0,,,,,,,,,,,,,
112177.0,1.0,1.0,112177011.0,3.0,1.0,11217701103.0,11217703.0,0.0,,,,,,,,,,,,,
112178.0,1.0,1.0,112178011.0,1.0,1.0,11217801101.0,11217801.0,0.0,,,,,,,,,,,,,
112178.0,1.0,1.0,112178011.0,2.0,1.0,11217801102.0,11217802.0,0.0,,,,,,,,,,,,,
112179.0,1.0,1.0,112179011.0,1.0,1.0,11217901101.0,11217901.0,0.0,,,,,,,,,,,,,
112181.0,1.0,1.0,112181011.0,1.0,1.0,11218101101.0,11218101.0,0.0,,,,,,,,,,,,,
112181.0,1.0,1.0,112181011.0,2.0,1.0,11218101102.0,11218102.0,0.0,,,,,,,,,,,,,
112181.0,1.0,1.0,112181011.0,3.0,1.0,11218101103.0,11218103.0,0.0,,,,,,,,,,,,,
112181.0,1.0,1.0,112181011.0,4.0,1.0,11218101104.0,11218104.0,0.0,,,,,,,,,,,,,
112182.0,1.0,1.0,112182011.0,1.0,1.0,11218201101.0,11218201.0,0.0,,,,,,,,,,,,,
112182.0,1.0,1.0,112182011.0,2.0,1.0,11218201102.0,11218202.0,0.0,,,,,,,,,,,,,
112182.0,2.0,1.0,112182021.0,3.0,1.0,11218202103.0,11218203.0,0.0,,,,,,,,,,,,,
112183.0,1.0,1.0,112183011.0,1.0,1.0,11218301101.0,11218301.0,0.0,,,,,,,,,,,,,
112183.0,1.0,1.0,112183011.0,2.0,1.0,11218301102.0,11218302.0,0.0,,,,,,,,,,,,,
112183.0,1.0,1.0,112183011.0,3.0,1.0,11218301103.0,11218303.0,0.0,,,,,,,,,,,,,
